Product Name,Product Details,Price,Actual Price,Discount Percentage
Alkaramah Spring Roll Pastry 160g,,5.25SAR,,
Walima Puff Pastry Sheets 400g,,6.75SAR,,
Sunbulah Puff Pastry Square 400g,,11.25SAR,,
Americana Hot & Crunchy Chicken Strips 750g,,23.95SAR,SAR41.45,42% OFF
Americana Chicken Nuggets 400g,,9.95SAR,SAR17.95,44% OFF
Seara Tender Chicken Breast Cuts 2kg,,37.95SAR,SAR63.95,40% OFF
Sunbulah Spring Roll Pastry 160g,,6.50SAR,,
Solo Sambusa Dough 360g× 24 Pieces,,14.25SAR,,
Sunbulah Frozen Konafah Dough 500g,,12.25SAR,,
Sunbulah Low Fat Puff Pastry Sheets 400g,,11.25SAR,,
Americana Chicken Cheese Nuggets 400g,,9.95SAR,SAR18.75,46% OFF
Sadia chicken frank 340 g,,5.95SAR,,
Americana 10 chicken franks 340 g × 3,,13.35SAR,,
Al Kabeer Zing Chicken Strips 1000g,,41.20SAR,SAR56.45,27% OFF
Solo Sambusa Dough 375g× 15 Pieces,,14.25SAR,,
Al Kabeer French Fries 1000g,,10.75SAR,,
Americana Chicken Nuggets Happykid 400g,,9.95SAR,SAR18.75,46% OFF
Al Kabeer Paratha Plain 400g,,6.85SAR,,
Doux Chicken Strips Regular 750g,,28.50SAR,,
Seara Chicken Popcorn 350g,,15.45SAR,,
Lamb Weston Frozen Extra Crispy Fries 750g,,14.50SAR,,
Americana 12 Breaded Chicken Burger Hot & Crunchy 678g,,21.95SAR,,
Al Karamah Shredded Thin Dough 500g,,9.75SAR,,
Sadia Chicken Franks Smoked 340g,,3.95SAR,SAR6.50,39% OFF
Dari Plain Paratha 400g,,6.50SAR,,
Sunbulah paratha asian taste bread 5 pieces - 400 g,,4.95SAR,SAR6.25,20% OFF
Walima plain paratha 400g,,7.95SAR,,
Seara Chicken Nuggets 750g,,17.95SAR,SAR27.45,34% OFF
Americana Meat Balls Beef 400g,,14.95SAR,,
Herfy Chicken Nugget 400g,,12.95SAR,SAR18.45,29% OFF
Dari French Fries 2kg,,23.45SAR,,
"Americana Chicken Burgers 12 Pieces, 680g",,21.95SAR,,
Alkaramah Spring Roll Pastry 160g,,5.25SAR,,
Walima Puff Pastry Sheets 400g,,6.75SAR,,
Sunbulah Puff Pastry Square 400g,,11.25SAR,,
Americana Hot & Crunchy Chicken Strips 750g,,23.95SAR,SAR41.45,42% OFF
Americana Chicken Nuggets 400g,,9.95SAR,SAR17.95,44% OFF
Seara Tender Chicken Breast Cuts 2kg,,37.95SAR,SAR63.95,40% OFF
Sunbulah Spring Roll Pastry 160g,,6.50SAR,,
Solo Sambusa Dough 360g× 24 Pieces,,14.25SAR,,
Sunbulah Frozen Konafah Dough 500g,,12.25SAR,,
Sunbulah Low Fat Puff Pastry Sheets 400g,,11.25SAR,,
Americana Chicken Cheese Nuggets 400g,,9.95SAR,SAR18.75,46% OFF
Sadia chicken frank 340 g,,5.95SAR,,
Americana 10 chicken franks 340 g × 3,,13.35SAR,,
Al Kabeer Zing Chicken Strips 1000g,,41.20SAR,SAR56.45,27% OFF
Solo Sambusa Dough 375g× 15 Pieces,,14.25SAR,,
Al Kabeer French Fries 1000g,,10.75SAR,,
Americana Chicken Nuggets Happykid 400g,,9.95SAR,SAR18.75,46% OFF
Al Kabeer Paratha Plain 400g,,6.85SAR,,
Doux Chicken Strips Regular 750g,,28.50SAR,,
Seara Chicken Popcorn 350g,,15.45SAR,,
Lamb Weston Frozen Extra Crispy Fries 750g,,14.50SAR,,
Americana 12 Breaded Chicken Burger Hot & Crunchy 678g,,21.95SAR,,
Al Karamah Shredded Thin Dough 500g,,9.75SAR,,
Sadia Chicken Franks Smoked 340g,,3.95SAR,SAR6.50,39% OFF
Dari Plain Paratha 400g,,6.50SAR,,
Sunbulah paratha asian taste bread 5 pieces - 400 g,,4.95SAR,SAR6.25,20% OFF
Walima plain paratha 400g,,7.95SAR,,
Seara Chicken Nuggets 750g,,17.95SAR,SAR27.45,34% OFF
Americana Meat Balls Beef 400g,,14.95SAR,,
Herfy Chicken Nugget 400g,,12.95SAR,SAR18.45,29% OFF
Dari French Fries 2kg,,23.45SAR,,
"Americana Chicken Burgers 12 Pieces, 680g",,21.95SAR,,
Alkaramah Spring Roll Pastry 160g,,5.25SAR,,
Walima Puff Pastry Sheets 400g,,6.75SAR,,
Sunbulah Puff Pastry Square 400g,,11.25SAR,,
Americana Hot & Crunchy Chicken Strips 750g,,23.95SAR,SAR41.45,42% OFF
Americana Chicken Nuggets 400g,,9.95SAR,SAR17.95,44% OFF
Seara Tender Chicken Breast Cuts 2kg,,37.95SAR,SAR63.95,40% OFF
Sunbulah Spring Roll Pastry 160g,,6.50SAR,,
Solo Sambusa Dough 360g× 24 Pieces,,14.25SAR,,
Sunbulah Frozen Konafah Dough 500g,,12.25SAR,,
Sunbulah Low Fat Puff Pastry Sheets 400g,,11.25SAR,,
Americana Chicken Cheese Nuggets 400g,,9.95SAR,SAR18.75,46% OFF
Sadia chicken frank 340 g,,5.95SAR,,
Americana 10 chicken franks 340 g × 3,,13.35SAR,,
Al Kabeer Zing Chicken Strips 1000g,,41.20SAR,SAR56.45,27% OFF
Solo Sambusa Dough 375g× 15 Pieces,,14.25SAR,,
Al Kabeer French Fries 1000g,,10.75SAR,,
Americana Chicken Nuggets Happykid 400g,,9.95SAR,SAR18.75,46% OFF
Al Kabeer Paratha Plain 400g,,6.85SAR,,
Doux Chicken Strips Regular 750g,,28.50SAR,,
Seara Chicken Popcorn 350g,,15.45SAR,,
Lamb Weston Frozen Extra Crispy Fries 750g,,14.50SAR,,
Americana 12 Breaded Chicken Burger Hot & Crunchy 678g,,21.95SAR,,
Al Karamah Shredded Thin Dough 500g,,9.75SAR,,
Sadia Chicken Franks Smoked 340g,,3.95SAR,SAR6.50,39% OFF
Dari Plain Paratha 400g,,6.50SAR,,
Sunbulah paratha asian taste bread 5 pieces - 400 g,,4.95SAR,SAR6.25,20% OFF
Walima plain paratha 400g,,7.95SAR,,
Seara Chicken Nuggets 750g,,17.95SAR,SAR27.45,34% OFF
Americana Meat Balls Beef 400g,,14.95SAR,,
Herfy Chicken Nugget 400g,,12.95SAR,SAR18.45,29% OFF
Dari French Fries 2kg,,23.45SAR,,
"Americana Chicken Burgers 12 Pieces, 680g",,21.95SAR,,
Alkaramah Spring Roll Pastry 160g,,5.25SAR,,
Walima Puff Pastry Sheets 400g,,6.75SAR,,
Sunbulah Puff Pastry Square 400g,,11.25SAR,,
Americana Hot & Crunchy Chicken Strips 750g,,23.95SAR,SAR41.45,42% OFF
Americana Chicken Nuggets 400g,,9.95SAR,SAR17.95,44% OFF
Seara Tender Chicken Breast Cuts 2kg,,37.95SAR,SAR63.95,40% OFF
Sunbulah Spring Roll Pastry 160g,,6.50SAR,,
Solo Sambusa Dough 360g× 24 Pieces,,14.25SAR,,
Sunbulah Frozen Konafah Dough 500g,,12.25SAR,,
Sunbulah Low Fat Puff Pastry Sheets 400g,,11.25SAR,,
Americana Chicken Cheese Nuggets 400g,,9.95SAR,SAR18.75,46% OFF
Sadia chicken frank 340 g,,5.95SAR,,
Americana 10 chicken franks 340 g × 3,,13.35SAR,,
Al Kabeer Zing Chicken Strips 1000g,,41.20SAR,SAR56.45,27% OFF
Solo Sambusa Dough 375g× 15 Pieces,,14.25SAR,,
Al Kabeer French Fries 1000g,,10.75SAR,,
Americana Chicken Nuggets Happykid 400g,,9.95SAR,SAR18.75,46% OFF
Al Kabeer Paratha Plain 400g,,6.85SAR,,
Doux Chicken Strips Regular 750g,,28.50SAR,,
Seara Chicken Popcorn 350g,,15.45SAR,,
Lamb Weston Frozen Extra Crispy Fries 750g,,14.50SAR,,
Americana 12 Breaded Chicken Burger Hot & Crunchy 678g,,21.95SAR,,
Al Karamah Shredded Thin Dough 500g,,9.75SAR,,
Sadia Chicken Franks Smoked 340g,,3.95SAR,SAR6.50,39% OFF
Dari Plain Paratha 400g,,6.50SAR,,
Sunbulah paratha asian taste bread 5 pieces - 400 g,,4.95SAR,SAR6.25,20% OFF
Walima plain paratha 400g,,7.95SAR,,
Seara Chicken Nuggets 750g,,17.95SAR,SAR27.45,34% OFF
Americana Meat Balls Beef 400g,,14.95SAR,,
